symbol,year,sentiment_mdna,sentiment_outlook,forward_ratio,hedge_ratio,optimism_score
NEE-PS,2023,0.6048,0.3059,1.0,0.11,0.63335
EP-PC,2023,0.7292,0.1433,1.0,0.21,0.59425
AEE,2023,0.5574,0.2519,1.0,0.116,0.58145
EMR,2023,0.4428,0.2157,1.0,0.217,0.48585
DLR-PL,2023,0.3577,0.2728,1.0,0.185,0.47825
WBD,2023,0.3749,0.25,1.0,0.186,0.47525
CI,2023,0.3669,0.2422,1.0,0.153,0.47395
COP,2023,0.3708,0.2126,1.0,0.125,0.4667
ENNPF,2023,0.3618,0.2003,1.0,0.112,0.45865
USB-PS,2023,0.3345,0.2232,1.0,0.118,0.45525
FDX,2023,0.3833,0.1759,1.0,0.163,0.447
AFRM,2023,0.3021,0.2512,1.0,0.194,0.43785
TXN,2023,0.2623,0.2238,1.0,0.104,0.42225
CEG,2023,0.1524,0.3152,1.0,0.127,0.4084
HON,2023,0.2403,0.2203,1.0,0.111,0.4081
GBTC,2023,0.1532,0.3677,1.0,0.287,0.40305
GLW,2023,0.2045,0.2336,1.0,0.122,0.39465
SLB,2023,0.0,0.374,1.0,0.093,0.3684
MCD,2023,0.2654,0.1654,1.0,0.253,0.3648
MMC,2023,0.2397,0.1578,1.0,0.2,0.35875
PLDGP,2023,0.1691,0.2077,1.0,0.166,0.3552
AON,2023,0.3651,0.2055,1.0,0.667,0.3519
INTC,2023,0.0611,0.272,1.0,0.087,0.34915
K,2023,0.226,0.1709,1.0,0.247,0.34905
VRTX,2023,0.1679,0.1969,1.0,0.223,0.3378
DUKB,2023,0.0,0.3083,1.0,0.1,0.33415
SCHW-PJ,2023,0.0772,0.2639,1.0,0.191,0.33235
UPS,2023,0.064,0.2496,1.0,0.124,0.332
IAU,2023,0.0726,0.3907,1.0,0.5,0.33165
HD,2023,0.0,0.2914,1.0,0.073,0.3311
D,2023,0.0,0.321,1.0,0.152,0.3301
OWL,2023,0.0,0.3379,1.0,0.207,0.32755
PAYX,2023,0.0,0.3227,1.0,0.169,0.32755
PGR,2023,0.1655,0.1881,1.0,0.252,0.3264
KR,2023,0.0,0.3019,1.0,0.144,0.32215
DTG,2023,0.0,0.2886,1.0,0.112,0.3219
XOM,2023,0.0,0.2677,1.0,0.068,0.32025
SPG-PJ,2023,0.1394,0.1997,1.0,0.247,0.32015
PEG,2023,0.0674,0.2218,1.0,0.135,0.3176
ELV,2023,0.0,0.2841,1.0,0.124,0.31725
EL,2023,0.0,0.2907,1.0,0.143,0.31675
GD,2023,0.0,0.2468,1.0,0.036,0.3162
ED,2023,0.0,0.2627,1.0,0.085,0.31435
XYL,2023,0.0,0.2744,1.0,0.127,0.3118
LOW,2023,0.0,0.2553,1.0,0.081,0.31145
UNH,2023,0.0,0.2767,1.0,0.135,0.31135
VICI,2023,0.0,0.3293,1.0,0.277,0.30925
O,2023,0.0,0.2876,1.0,0.174,0.309
INTU,2023,0.0,0.2762,1.0,0.148,0.3085
IMO,2023,0.0,0.2483,1.0,0.091,0.30595
DELL,2023,0.0,0.2529,1.0,0.104,0.30565
VLO,2023,0.1209,0.1371,1.0,0.118,0.3054
VRSK,2023,0.0,0.2483,1.0,0.099,0.30435
STZ,2023,0.0,0.2645,1.0,0.143,0.30365
BR,2023,0.0,0.2991,1.0,0.23,0.30355
YUM,2023,0.1473,0.217,1.0,0.4,0.30215
XEL,2023,0.0,0.2533,1.0,0.126,0.30145
RSG,2023,0.0,0.2575,1.0,0.137,0.30135
OKE,2023,0.0,0.2629,1.0,0.151,0.30125
EXC,2023,0.0747,0.1429,1.0,0.039,0.301
LNG,2023,0.0,0.2713,1.0,0.174,0.30085
ROK,2023,0.0,0.2446,1.0,0.108,0.3007
VZ,2023,0.0,0.2407,1.0,0.099,0.30055
ORLY,2023,0.0,0.264,1.0,0.162,0.2996
SYY,2023,0.0,0.252,1.0,0.133,0.2994
GIS,2023,0.0,0.2753,1.0,0.194,0.29885
HEI-A,2023,0.0,0.2321,1.0,0.088,0.29845
TW,2023,0.0,0.2858,1.0,0.223,0.2983
