Year,Period,Profit %,Drawdown %,Cum Profit $,Max. Cum Drawdown %,Portfolio $
2014,Jan-Feb,2.7,-5.2,2.7,-5.2,102702.27
2014,Mar-Apr,1.31,-4.35,4.04,-5.2,104044.66
2014,May-Jun,5.19,-1.12,9.44,-5.2,109440.99
2014,Jul-Aug,5.01,-3.47,14.93,-5.2,114926.69
2014,Sep-Oct,0.62,-8.35,15.64,-8.35,115639.81
2014,Nov-Dec,2.0,-6.26,17.95,-8.35,117950.32
2015,Jan-Feb,4.41,-3.76,23.15,-8.35,123151.91
2015,Mar-Apr,-1.98,-4.89,20.71,-8.35,120711.2
2015,May-Jun,-2.8,-5.56,17.33,-8.35,117331.27
2015,Jul-Aug,-2.83,-13.67,14.02,-13.67,114015.39
2015,Sep-Oct,8.46,-5.65,23.67,-13.67,123666.15
2015,Nov-Dec,-1.9,-5.39,21.32,-13.67,121318.76
2016,Jan-Feb,-3.08,-8.37,17.59,-13.67,117587.64
2016,Mar-Apr,-0.21,-5.78,17.35,-13.67,117346.11
2016,May-Jun,2.92,-6.49,20.77,-13.67,120770.72
2016,Jul-Aug,8.29,-0.87,30.78,-13.67,130782.57
2016,Sep-Oct,0.58,-3.25,31.55,-13.67,131546.36
2016,Nov-Dec,2.84,-3.23,35.28,-13.67,135283.68
Final Portfolio Value,"$135,283.68",,,,,
Cumulative Max Drawdown,-13.67%,,,,,
