Year,Period,Profit %,Drawdown %,Cum Profit $,Max. Cum Drawdown %,Portfolio $,CAGR %,Max DD %
2022,Jan-Feb,-2.56,-8.55,-2.56,-8.55,97444.98,,
2022,Mar-Apr,-10.41,-12.68,-12.7,-12.68,87300.78,,
2022,May-Jun,-8.87,-14.43,-20.44,-14.43,79555.61,,
2022,Jul-Aug,3.62,-7.71,-17.56,-14.43,82438.49,,
2022,Sep-Oct,2.49,-12.57,-15.51,-14.43,84489.02,,
2022,Nov-Dec,0.64,-8.02,-14.97,-14.43,85027.86,,
2023,Jan-Feb,4.05,-3.79,-11.53,-14.43,88470.74,,
2022,,,,,,,-12.74,-14.43
2023,,,,,,,-11.53,-3.79
Final Portfolio Value,"$88,470.74",,,,,,,
Cumulative Max Drawdown,-14.43%,,,,,,,
