Year,Period,Profit %,Drawdown %,Cum Profit $,Max. Cum Drawdown %,Portfolio $,CAGR %,Max DD %
2016,Jan-Feb,15.31,-3.6,15304.73,-3.6,115304.73,,
2016,Mar-Apr,4.99,-4.4,21059.02,-4.4,121059.02,,
2016,May-Jun,2.62,-6.18,24229.29,-6.18,124229.29,,
2016,Jul-Aug,-2.84,-4.41,20695.22,-6.18,120695.22,,
2016,Sep-Oct,-2.67,-7.26,17465.64,-7.26,117465.64,,
2016,Nov-Dec,-10.7,-13.71,4891.37,-13.71,104891.37,,
2017,Jan-Feb,7.93,-2.24,13206.3,-13.71,113206.3,,
2017,Mar-Apr,1.44,-4.15,14829.69,-13.71,114829.69,,
2017,May-Jun,-1.38,-4.13,13243.96,-13.71,113243.96,,
2017,Jul-Aug,8.38,-1.47,22732.71,-13.71,122732.71,,
2017,Sep-Oct,-4.28,-6.09,17482.58,-13.71,117482.58,,
2017,Nov-Dec,2.09,-3.95,19938.86,-13.71,119938.86,,
2018,Jan-Feb,-0.12,-3.15,19792.61,-13.71,119792.61,,
2018,Mar-Apr,-0.1,-2.88,19665.25,-13.71,119665.25,,
2018,May-Jun,-4.13,-5.6,14715.33,-13.71,114715.33,,
2018,Jul-Aug,-3.44,-6.81,10762.27,-13.71,110762.27,,
2018,Sep-Oct,1.9,-1.95,12866.83,-13.71,112866.83,,
2018,Nov-Dec,3.91,-2.57,17282.88,-13.71,117282.88,,
2019,Jan-Feb,2.19,-2.14,19851.6,-13.71,119851.6,,
2019,Mar-Apr,-0.56,-3.84,19180.43,-13.71,119180.43,,
2019,May-Jun,10.63,-1.98,31848.01,-13.71,131848.01,,
2019,Jul-Aug,10.05,-2.4,45098.7,-13.71,145098.7,,
2019,Sep-Oct,-2.28,-5.31,41791.09,-13.71,141791.09,,
2019,Nov-Dec,0.23,-3.9,42116.35,-13.71,142116.35,,
2020,Jan-Feb,3.06,-4.95,46467.73,-13.71,146467.73,,
2020,Mar-Apr,6.43,-12.53,55889.27,-13.71,155889.27,,
2020,May-Jun,4.74,-4.03,63281.43,-13.71,163281.43,,
2020,Jul-Aug,10.93,-7.63,81123.78,-13.71,181123.78,,
2020,Sep-Oct,-4.79,-5.54,72449.3,-13.71,172449.3,,
2020,Nov-Dec,0.25,-9.02,72872.47,-13.71,172872.47,,
2021,Jan-Feb,-11.31,-11.57,53320.73,-13.71,153320.73,,
2021,Mar-Apr,2.5,-3.65,57151.47,-13.71,157151.47,,
2021,May-Jun,-1.35,-7.81,55031.18,-13.71,155031.18,,
2021,Jul-Aug,2.07,-5.53,58233.95,-13.71,158233.95,,
2021,Sep-Oct,-1.82,-5.71,55347.41,-13.71,155347.41,,
2021,Nov-Dec,2.0,-5.32,58453.44,-13.71,158453.44,,
2022,Jan-Feb,5.93,-3.18,67854.75,-13.71,167854.75,,
2022,Mar-Apr,-2.63,-8.13,63440.67,-13.71,163440.67,,
2022,May-Jun,-3.03,-4.23,58488.24,-13.71,158488.24,,
2022,Jul-Aug,-5.4,-6.11,49935.1,-13.71,149935.1,,
2022,Sep-Oct,-3.83,-5.86,44194.54,-13.71,144194.54,,
2022,Nov-Dec,10.5,-2.19,59332.81,-13.71,159332.81,,
2023,Jan-Feb,-0.78,-7.34,58080.33,-13.71,158080.33,,
2023,Mar-Apr,8.18,-2.89,71003.59,-13.71,171003.59,,
2023,May-Jun,-3.11,-7.02,65683.32,-13.71,165683.32,,
2023,Jul-Aug,0.87,-4.56,67119.75,-13.71,167119.75,,
2023,Sep-Oct,2.21,-6.26,70810.14,-13.71,170810.14,,
2023,Nov-Dec,4.17,-4.44,77937.42,-13.71,177937.42,,
2024,Jan-Feb,-0.74,-3.3,76619.44,-13.71,176619.44,,
2024,Mar-Apr,9.82,-4.24,93966.68,-13.71,193966.68,,
2024,May-Jun,0.57,-5.77,95071.04,-13.71,195071.04,,
2024,Jul-Aug,7.29,-4.36,109293.51,-13.71,209293.51,,
2024,Sep-Oct,10.08,-2.4,130393.69,-13.71,230393.69,,
2024,Nov-Dec,-4.1,-6.63,120945.52,-13.71,220945.52,,
2016,,,,,,,4.89,-13.71
2017,,,,,,,14.35,-6.09
2018,,,,,,,-2.21,-6.81
2019,,,,,,,21.17,-5.31
2020,,,,,,,21.64,-12.53
2021,,,,,,,-8.34,-11.57
2022,,,,,,,0.55,-8.13
2023,,,,,,,11.68,-7.34
2024,,,,,,,24.17,-6.63
Cumulative CAGR,9.21%,,,,,,,
Final Portfolio Value,"$220,945.52",,,,,,,
Cumulative Max Drawdown,-13.71%,,,,,,,
