Year,Period,Profit %,Drawdown %,Cum Profit $,Max. Cum Drawdown %,Portfolio $,CAGR %,Max DD %
2014,Jan-Feb,9.14,-0.0,9.14,-0.0,109138.19,,
2014,Mar-Apr,0.65,-0.0,9.85,-0.0,109850.02,,
2014,May-Jun,0.0,0.0,9.85,-0.0,109850.02,,
2014,Jul-Aug,0.0,0.0,9.85,-0.0,109850.02,,
2014,Sep-Oct,0.0,0.0,9.85,-0.0,109850.02,,
2014,Nov-Dec,0.0,0.0,9.85,-0.0,109850.02,,
2015,Jan-Feb,0.0,0.0,9.85,-0.0,109850.02,,
2015,Mar-Apr,5.06,0.0,15.41,-0.0,115405.41,,
2015,May-Jun,0.0,0.0,15.41,-0.0,115405.41,,
2015,Jul-Aug,-1.47,-1.47,13.7,-1.47,113704.56,,
2015,Sep-Oct,0.0,0.0,13.7,-1.47,113704.56,,
2015,Nov-Dec,-4.29,-4.29,8.82,-4.29,108823.24,,
2016,Jan-Feb,0.0,0.0,8.82,-4.29,108823.24,,
2016,Mar-Apr,0.0,0.0,8.82,-4.29,108823.24,,
2016,May-Jun,7.21,0.0,16.67,-4.29,116671.07,,
2016,Jul-Aug,0.0,0.0,16.67,-4.29,116671.07,,
2016,Sep-Oct,-0.34,-0.34,16.27,-4.29,116274.38,,
2016,Nov-Dec,0.0,0.0,16.27,-4.29,116274.38,,
2017,Jan-Feb,2.33,-0.0,18.99,-4.29,118985.26,,
2017,Mar-Apr,0.0,0.0,18.99,-4.29,118985.26,,
2017,May-Jun,-3.37,-3.37,14.98,-4.29,114975.19,,
2017,Jul-Aug,0.03,-0.0,15.01,-4.29,115008.15,,
2017,Sep-Oct,0.0,0.0,15.01,-4.29,115008.15,,
2017,Nov-Dec,0.0,0.0,15.01,-4.29,115008.15,,
2018,Jan-Feb,-2.99,-2.99,11.57,-4.29,111572.37,,
2018,Mar-Apr,0.0,0.0,11.57,-4.29,111572.37,,
2018,May-Jun,0.0,0.0,11.57,-4.29,111572.37,,
2018,Jul-Aug,-11.88,-11.88,-1.68,-11.88,98317.74,,
2018,Sep-Oct,0.0,0.0,-1.68,-11.88,98317.74,,
2018,Nov-Dec,-8.68,-8.68,-10.21,-11.88,89786.67,,
2019,Jan-Feb,0.82,-0.0,-9.48,-11.88,90521.03,,
2019,Mar-Apr,0.0,0.0,-9.48,-11.88,90521.03,,
2019,May-Jun,0.0,0.0,-9.48,-11.88,90521.03,,
2019,Jul-Aug,0.0,0.0,-9.48,-11.88,90521.03,,
2019,Sep-Oct,-4.08,-4.08,-13.17,-11.88,86825.82,,
2014,,,,,,,0.65,-0.0
2015,,,,,,,-0.93,-4.29
2016,,,,,,,6.85,-0.34
2017,,,,,,,-3.34,-3.37
2018,,,,,,,-19.53,-11.88
2019,,,,,,,-4.08,-4.08
Final Portfolio Value,"$86,825.82",,,,,,,
Cumulative Max Drawdown,-11.88%,,,,,,,
