Year,Period,Profit %,Drawdown %,Cum Profit $,Max. Cum Drawdown %,Portfolio $
2014,Jan-Feb,2.69,-5.2,2.69,-5.2,102687.16
2014,Mar-Apr,1.35,-4.35,4.07,-5.2,104070.77
2014,May-Jun,5.19,-1.12,9.47,-5.2,109473.83
2014,Jul-Aug,5.01,-3.47,14.96,-5.2,114960.83
2014,Sep-Oct,0.62,-8.35,15.67,-8.35,115668.42
2014,Nov-Dec,1.99,-6.27,17.97,-8.35,117973.58
2015,Jan-Feb,4.41,-3.76,23.18,-8.35,123176.19
2015,Mar-Apr,-1.18,-4.24,21.72,-8.35,121718.31
2015,May-Jun,-2.77,-5.53,18.35,-8.35,118345.19
2015,Jul-Aug,-3.49,-13.67,14.21,-13.67,114211.06
2015,Sep-Oct,12.09,-5.66,28.02,-13.67,128019.38
2015,Nov-Dec,-1.91,-5.4,25.57,-13.67,125570.28
2016,Jan-Feb,-3.1,-8.39,21.68,-13.67,121683.27
2016,Mar-Apr,-0.16,-5.75,21.49,-13.67,121492.59
2016,May-Jun,2.15,-6.5,24.1,-13.67,124100.46
2016,Jul-Aug,8.07,-0.87,34.11,-13.67,134111.73
2016,Sep-Oct,0.56,-3.25,34.87,-13.67,134868.03
2016,Nov-Dec,2.87,-3.22,38.73,-13.67,138734.44
Final Portfolio Value,"$138,734.44",,,,,
Cumulative Max Drawdown,-13.67%,,,,,
