Year,Period,Profit %,Drawdown %,Cum Profit $,Max. Cum Drawdown %,Portfolio $,CAGR %,Max DD %
2022,Jan-Feb,-2.56,-8.56,-2.56,-8.56,97435.25,,
2022,Mar-Apr,-10.41,-12.68,-12.71,-12.68,87287.43,,
2022,May-Jun,-8.91,-14.43,-20.49,-14.43,79507.3,,
2022,Jul-Aug,5.05,-7.72,-16.48,-14.43,83524.5,,
2022,Sep-Oct,2.48,-12.57,-14.41,-14.43,85594.1,,
2022,Nov-Dec,0.32,-8.04,-14.13,-14.43,85870.98,,
2023,Jan-Feb,4.07,-3.78,-10.63,-14.43,89365.14,,
2022,,,,,,,-11.87,-14.43
2023,,,,,,,-10.63,-3.78
Final Portfolio Value,"$89,365.14",,,,,,,
Cumulative Max Drawdown,-14.43%,,,,,,,
