Year,Period,Profit %,Drawdown %,Cum Profit $,Max. Cum Drawdown %,Portfolio $,CAGR %,Max DD %
2015,Jan-Feb,0.0,0.0,0.0,0.0,100000.0,,
2015,Mar-Apr,-4.47,-6.96,-4472.3,-6.96,95527.7,,
2015,May-Jun,-2.24,-2.99,-6610.34,-6.96,93389.66,,
2015,Jul-Aug,-0.36,-3.96,-6949.89,-6.96,93050.11,,
2015,Sep-Oct,-0.0,-0.0,-6954.89,-6.96,93045.11,,
2015,,,,,,,-6.95,-10.67
Cumulative CAGR,-6.95%,,,,,,,
Final Portfolio Value,"$93,045.11",,,,,,,
Symbol,XLK,,,,,,,
Series CSV,"SPY,VIXCLS,DGS2,DGS10,DGS30,DGS1MO,DGS3MO,DGS6MO,EFFR,FEDFUNDS,T10YIE,M2SL,LEI_ARIMA_1_1_1_step_1,NFCI",,,,,,,
