Year,Period,Profit %,Drawdown %,Cum Profit $,Max. Cum Drawdown %,Portfolio $
2014,Jan-Feb,2.71,-5.2,2.71,-5.2,102712.63
2014,Mar-Apr,0.28,-4.35,3.0,-5.2,102995.2
2014,May-Jun,5.21,-1.12,8.36,-5.2,108363.94
2014,Jul-Aug,5.02,-3.47,13.81,-5.2,113806.26
2014,Sep-Oct,0.62,-8.35,14.51,-8.35,114506.74
2014,Nov-Dec,2.0,-6.26,16.79,-8.35,116794.62
2015,Jan-Feb,4.41,-3.76,21.95,-8.35,121945.24
2015,Mar-Apr,-1.18,-4.24,20.5,-8.35,120501.93
2015,May-Jun,-2.79,-5.54,17.14,-8.35,117144.81
2015,Jul-Aug,-2.84,-13.68,13.82,-13.68,113816.21
2015,Sep-Oct,8.48,-5.66,23.47,-13.68,123467.27
2015,Nov-Dec,-1.9,-5.39,21.12,-13.68,121123.21
2016,Jan-Feb,-3.08,-8.37,17.4,-13.68,117398.11
2016,Mar-Apr,-0.17,-5.78,17.2,-13.68,117197.7
2016,May-Jun,2.91,-6.49,20.61,-13.68,120611.51
2016,Jul-Aug,8.35,-0.87,30.68,-13.68,130678.69
2016,Sep-Oct,0.91,-3.25,31.86,-13.68,131861.49
2016,Nov-Dec,2.85,-3.23,35.62,-13.68,135621.53
Final Portfolio Value,"$135,621.53",,,,,
Cumulative Max Drawdown,-13.68%,,,,,
