Year,Period,Profit %,Drawdown %,Cum Profit $,Max. Cum Drawdown %,Portfolio $,CAGR %,Max DD %
2014,Jan-Feb,2.71,-5.2,2.71,-5.2,102707.49,,
2014,Mar-Apr,0.26,-4.35,2.98,-5.2,102979.64,,
2014,May-Jun,5.21,-1.12,8.35,-5.2,108347.57,,
2014,Jul-Aug,5.03,-3.47,13.8,-5.2,113800.27,,
2014,Sep-Oct,0.62,-8.35,14.51,-8.35,114506.4,,
2014,Nov-Dec,2.0,-6.26,16.79,-8.35,116794.27,,
2015,Jan-Feb,4.41,-3.76,21.94,-8.35,121944.88,,
2015,Mar-Apr,-1.18,-4.24,20.5,-8.35,120501.57,,
2015,May-Jun,-2.78,-5.54,17.15,-8.35,117150.49,,
2015,Jul-Aug,-2.83,-13.67,13.84,-13.67,113839.71,,
2015,Sep-Oct,12.06,-5.67,27.57,-13.67,127565.82,,
2015,Nov-Dec,-1.89,-5.38,25.15,-13.67,125150.35,,
2016,Jan-Feb,-3.09,-8.38,21.28,-13.67,121282.48,,
2016,Mar-Apr,-0.17,-5.76,21.08,-13.67,121075.01,,
2016,May-Jun,2.94,-6.48,24.64,-13.67,124638.58,,
2016,Jul-Aug,8.35,-0.87,35.04,-13.67,135041.89,,
2016,Sep-Oct,0.89,-3.25,36.24,-13.67,136237.01,,
2016,Nov-Dec,2.87,-3.23,40.14,-13.67,140142.28,,
2017,Jan-Feb,7.3,-1.3,50.37,-13.67,150367.87,,
2017,Mar-Apr,3.87,-1.99,56.18,-13.67,156183.25,,
2017,May-Jun,-0.14,-4.74,55.96,-13.67,155960.73,,
2017,Jul-Aug,8.26,-2.16,68.84,-13.67,168839.45,,
2017,Sep-Oct,7.0,-2.07,80.66,-13.67,180663.66,,
2017,Nov-Dec,1.56,-3.43,83.48,-13.67,183479.36,,
2018,Jan-Feb,5.3,-10.38,93.2,-13.67,193200.3,,
2018,Mar-Apr,-3.98,-9.71,85.52,-13.67,185519.91,,
2018,May-Jun,4.8,-5.14,94.42,-13.67,194421.02,,
2018,Jul-Aug,8.79,-4.73,111.51,-13.67,211506.13,,
2018,Sep-Oct,-7.99,-11.85,94.61,-13.67,194605.98,,
2018,Nov-Dec,-10.59,-19.01,74.0,-19.01,173996.27,,
2019,Jan-Feb,14.24,-5.05,98.77,-19.01,198766.97,,
2019,Mar-Apr,11.08,-2.81,120.79,-19.01,220786.74,,
2019,May-Jun,-0.6,-10.41,119.45,-19.01,219453.19,,
2019,Jul-Aug,0.23,-8.46,119.96,-19.01,219958.91,,
2019,Sep-Oct,6.47,-4.27,134.2,-19.01,234198.37,,
2019,Nov-Dec,9.56,-2.59,156.59,-19.01,256590.94,,
2020,Jan-Feb,-5.38,-14.68,142.8,-19.01,242798.39,,
2020,Mar-Apr,-2.22,-24.94,137.41,-24.94,237408.11,,
2020,May-Jun,14.31,-5.73,171.38,-24.94,271379.21,,
2020,Jul-Aug,18.24,-3.98,220.88,-24.94,320881.43,,
2014,,,,,,,13.72,-8.35
2015,,,,,,,2.63,-13.67
2016,,,,,,,15.55,-8.38
2017,,,,,,,22.02,-4.74
2018,,,,,,,-9.94,-19.01
2019,,,,,,,29.09,-10.41
2020,,,,,,,32.16,-24.94
Final Portfolio Value,"$320,881.43",,,,,,,
Cumulative Max Drawdown,-24.94%,,,,,,,
