Year,Period,Profit %,Drawdown %,Cum Profit $,Max. Cum Drawdown %,Portfolio $,CAGR %,Max DD %
2022,Jan-Feb,-2.56,-8.55,-2.56,-8.55,97444.98,,
2022,Mar-Apr,-10.42,-12.69,-12.71,-12.69,87287.37,,
2022,May-Jun,-8.9,-14.44,-20.48,-14.44,79515.83,,
2022,Jul-Aug,5.09,-7.71,-16.44,-14.44,83561.15,,
2022,Sep-Oct,2.8,-12.57,-14.1,-14.44,85899.67,,
2022,Nov-Dec,0.65,-8.01,-13.54,-14.44,86455.82,,
2023,Jan-Feb,4.05,-3.78,-10.04,-14.44,89961.02,,
2022,,,,,,,-11.28,-14.44
2023,,,,,,,-10.04,-3.78
Final Portfolio Value,"$89,961.02",,,,,,,
Cumulative Max Drawdown,-14.44%,,,,,,,
