Year,Period,Profit %,Drawdown %,Cum Profit $,Max. Cum Drawdown %,Portfolio $,CAGR %,Max DD %
2013,Jan-Feb,4.31,-3.77,4307.11,-3.77,104307.11,,
2013,Mar-Apr,5.99,-3.92,10548.32,-3.92,110548.32,,
2013,May-Jun,5.46,-6.9,16584.97,-6.9,116584.97,,
2013,Jul-Aug,-0.32,-7.02,16214.47,-7.02,116214.47,,
2013,Sep-Oct,4.89,-5.54,21895.81,-7.02,121895.81,,
2013,Nov-Dec,6.03,-2.17,29247.69,-7.02,129247.69,,
2014,Jan-Feb,-0.2,-7.3,28984.92,-7.3,128984.92,,
2014,Mar-Apr,1.99,-5.33,31544.9,-7.3,131544.9,,
2014,May-Jun,3.36,-1.95,35961.52,-7.3,135961.52,,
2014,Jul-Aug,2.08,-3.87,38781.86,-7.3,138781.86,,
2014,Sep-Oct,1.66,-7.42,41080.63,-7.42,141080.63,,
2014,Nov-Dec,3.33,-5.0,45777.33,-7.42,145777.33,,
2015,Jan-Feb,-1.57,-6.99,43493.45,-7.42,143493.45,,
2015,Mar-Apr,-1.67,-3.15,41094.14,-7.42,141094.14,,
2015,May-Jun,0.2,-3.9,41367.23,-7.42,141367.23,,
2015,Jul-Aug,-5.32,-12.71,33839.34,-12.71,133839.34,,
2015,Sep-Oct,6.19,-5.39,42124.4,-12.71,142124.4,,
2015,Nov-Dec,-2.37,-6.15,38751.7,-12.71,138751.7,,
2016,Jan-Feb,-9.75,-16.22,25225.17,-16.22,125225.17,,
2016,Mar-Apr,6.95,-3.36,33924.58,-16.22,133924.58,,
2016,May-Jun,-2.83,-10.07,30135.8,-16.22,130135.8,,
2016,Jul-Aug,8.02,-1.46,40566.52,-16.22,140566.52,,
2016,Sep-Oct,-0.6,-4.56,39714.69,-16.22,139714.69,,
2016,Nov-Dec,18.24,-2.32,65191.25,-16.22,165191.25,,
2017,Jan-Feb,4.38,-3.16,72425.86,-16.22,172425.86,,
2017,Mar-Apr,-6.79,-9.28,60722.82,-16.22,160722.82,,
2017,May-Jun,4.18,-3.43,67439.62,-16.22,167439.62,,
2017,Jul-Aug,-1.32,-3.31,65229.6,-16.22,165229.6,,
2017,Sep-Oct,7.39,-3.59,77434.03,-16.22,177434.03,,
2017,Nov-Dec,4.77,-3.01,85890.17,-16.22,185890.17,,
2018,Jan-Feb,3.39,-9.98,92192.48,-16.22,192192.48,,
2018,Mar-Apr,-3.26,-9.7,85922.65,-16.22,185922.65,,
2018,May-Jun,-3.17,-6.99,80029.74,-16.22,180029.74,,
2018,Jul-Aug,6.03,-2.7,90874.69,-16.22,190874.69,,
2018,Sep-Oct,-7.69,-12.91,76189.71,-16.22,176189.71,,
2018,Nov-Dec,-9.77,-18.49,58968.91,-18.49,158968.91,,
2019,Jan-Feb,10.41,-2.25,75511.62,-18.49,175511.62,,
2019,Mar-Apr,4.98,-6.21,84254.98,-18.49,184254.98,,
2019,May-Jun,-0.68,-7.34,82992.75,-18.49,182992.75,,
2019,Jul-Aug,-3.66,-9.45,76295.18,-18.49,176295.18,,
2019,Sep-Oct,7.73,-6.1,89924.92,-18.49,189924.92,,
2019,Nov-Dec,5.7,-2.19,100749.04,-18.49,200749.04,,
2020,Jan-Feb,-14.45,-14.7,71736.23,-18.49,171736.23,,
2020,Mar-Apr,-18.46,-36.82,40029.04,-36.82,140029.04,,
2020,May-Jun,4.83,-15.58,46787.78,-36.82,146787.78,,
2020,Jul-Aug,9.18,-3.97,60262.04,-36.82,160262.04,,
2020,Sep-Oct,-5.13,-9.01,52044.3,-36.82,152044.3,,
2020,Nov-Dec,21.19,-2.94,84264.55,-36.82,184264.55,,
2021,Jan-Feb,11.05,-8.0,104619.35,-36.82,204619.35,,
2021,Mar-Apr,8.81,-4.64,122634.15,-36.82,222634.15,,
2021,May-Jun,0.69,-8.42,124159.04,-36.82,224159.04,,
2021,Jul-Aug,3.84,-5.29,132763.96,-36.82,232763.96,,
2021,Sep-Oct,5.45,-4.72,145442.02,-36.82,245442.02,,
2021,Nov-Dec,-3.06,-7.38,137934.65,-36.82,237934.65,,
2022,Jan-Feb,-2.56,-8.55,131852.93,-36.82,231852.93,,
2022,Mar-Apr,-6.99,-12.69,115640.33,-36.82,215640.33,,
2022,May-Jun,-8.92,-14.45,96402.35,-36.82,196402.35,,
2022,Jul-Aug,3.67,-7.71,103597.91,-36.82,203597.91,,
2022,Sep-Oct,2.49,-12.57,108660.39,-36.82,208660.39,,
2022,Nov-Dec,0.38,-8.01,109454.06,-36.82,209454.06,,
2023,Jan-Feb,4.07,-3.79,117975.88,-36.82,217975.88,,
2023,Mar-Apr,-6.86,-14.0,103023.49,-36.82,203023.49,,
2023,May-Jun,1.87,-4.63,106825.31,-36.82,206825.31,,
2023,Jul-Aug,1.42,-5.56,109751.27,-36.82,209751.27,,
2023,Sep-Oct,-6.72,-10.17,95660.71,-36.82,195660.71,,
