Year,Period,Profit %,Drawdown %,Cum Profit $,Max. Cum Drawdown %,Portfolio $,CAGR %,Max DD %
2013,Jan-Feb,0,0,0,0,100000,,
2013,Mar-Apr,0,0,0,0,100000,,
2013,May-Jun,0,0,0,0,100000,,
2013,Jul-Aug,0,0,0,0,100000,,
2013,Sep-Oct,5.98,-3.87,5979.1,-3.87,105979.1,,
2013,Nov-Dec,6.05,-2.09,12389.3,-3.87,112389.3,,
2014,Jan-Feb,0,0,12389.3,-3.87,112389.3,,
2014,Mar-Apr,-0.08,-4.35,12291.88,-4.35,112291.88,,
2014,May-Jun,4.84,-1.12,17720.24,-4.35,117720.24,,
2014,Jul-Aug,3.41,-3.47,21734.87,-4.35,121734.87,,
2014,Sep-Oct,0,0,21734.87,-4.35,121734.87,,
2014,Nov-Dec,0,0,21734.87,-4.35,121734.87,,
2015,Jan-Feb,0,0,21734.87,-4.35,121734.87,,
2015,Mar-Apr,-3.45,-6.33,17529.18,-6.33,117529.18,,
2015,May-Jun,-0.43,-3.22,17027.07,-6.33,117027.07,,
2015,Jul-Aug,-5.71,-10.24,10343.81,-10.24,110343.81,,
2015,Sep-Oct,5.69,-1.02,16617.31,-10.24,116617.31,,
2015,Nov-Dec,-1.63,-1.67,14717.85,-10.24,114717.85,,
2016,Jan-Feb,0,0,14717.85,-10.24,114717.85,,
2016,Mar-Apr,-3.35,-5.75,10870.58,-10.24,110870.58,,
2016,May-Jun,3.12,-1.87,14329.39,-10.24,114329.39,,
2016,Jul-Aug,6.48,-0.87,21733.75,-10.24,121733.75,,
2016,Sep-Oct,-0.36,-3.25,21293.9,-10.24,121293.9,,
2016,Nov-Dec,3.49,-3.22,25519.69,-10.24,125519.69,,
2017,Jan-Feb,6.75,-1.3,33986.59,-10.24,133986.59,,
2017,Mar-Apr,2.87,-1.98,37834.33,-10.24,137834.33,,
2017,May-Jun,-0.17,-4.74,37603.01,-10.24,137603.01,,
2017,Jul-Aug,8.18,-2.16,48858.07,-10.24,148858.07,,
2017,Sep-Oct,7.96,-2.07,60698.21,-10.24,160698.21,,
2017,Nov-Dec,0.72,-3.43,61857.49,-10.24,161857.49,,
2018,Jan-Feb,-0.12,-7.93,61655.14,-10.24,161655.14,,
2018,Mar-Apr,-6.18,-6.48,51670.1,-10.24,151670.1,,
2018,May-Jun,4.68,-5.14,58773.09,-10.24,158773.09,,
2018,Jul-Aug,5.59,-4.73,67637.96,-10.24,167637.96,,
2018,Sep-Oct,-4.06,-9.61,60821.28,-10.24,160821.28,,
2018,Nov-Dec,-9.74,-18.99,45148.92,-18.99,145148.92,,
2019,Jan-Feb,1.63,-0.38,47517.23,-18.99,147517.23,,
2019,Mar-Apr,11.08,-2.81,63854.18,-18.99,163854.18,,
2019,May-Jun,1.48,-8.15,66275.97,-18.99,166275.97,,
2019,Jul-Aug,-1.31,-4.47,64091.36,-18.99,164091.36,,
2019,Sep-Oct,1.88,-3.3,67170.13,-18.99,167170.13,,
2019,Nov-Dec,7.83,-2.59,80261.66,-18.99,180261.66,,
2020,Jan-Feb,-4.82,-10.23,71567.71,-18.99,171567.71,,
2020,Mar-Apr,0,0,71567.71,-18.99,171567.71,,
2020,May-Jun,0,0,71567.71,-18.99,171567.71,,
2020,Jul-Aug,0,0,71567.71,-18.99,171567.71,,
2020,Sep-Oct,0,0,71567.71,-18.99,171567.71,,
2020,Nov-Dec,0,0,71567.71,-18.99,171567.71,,
2021,Jan-Feb,0,0,71567.71,-18.99,171567.71,,
2021,Mar-Apr,0,0,71567.71,-18.99,171567.71,,
2021,May-Jun,-0.01,-1.15,71550.75,-18.99,171550.75,,
2021,Jul-Aug,-1.76,-2.2,68535.16,-18.99,168535.16,,
2021,Sep-Oct,1.18,-0.35,70523.37,-18.99,170523.37,,
2021,Nov-Dec,0,0,70523.37,-18.99,170523.37,,
2022,Jan-Feb,0,0,70523.37,-18.99,170523.37,,
2022,Mar-Apr,0,0,70523.37,-18.99,170523.37,,
2022,May-Jun,0,0,70523.37,-18.99,170523.37,,
2022,Jul-Aug,0,0,70523.37,-18.99,170523.37,,
2022,Sep-Oct,-1.49,-3.34,67975.3,-18.99,167975.3,,
2022,Nov-Dec,0,0,67975.3,-18.99,167975.3,,
2023,Jan-Feb,0,0,67975.3,-18.99,167975.3,,
2023,Mar-Apr,1.1,-3.8,69816.77,-18.99,169816.77,,
2023,May-Jun,11.91,-4.12,90045.53,-18.99,190045.53,,
2023,Jul-Aug,2.15,-8.63,94129.62,-18.99,194129.62,,
2023,Sep-Oct,-6.3,-7.42,81897.36,-18.99,181897.36,,
2023,Nov-Dec,12.06,-1.51,103834.96,-18.99,203834.96,,
2024,Jan-Feb,0,0,103834.96,-18.99,203834.96,,
2024,Mar-Apr,0,0,103834.96,-18.99,203834.96,,
2024,May-Jun,0,0,103834.96,-18.99,203834.96,,
2024,Jul-Aug,5.05,0,114127.97,-18.99,214127.97,,
2024,Sep-Oct,6.16,-4.95,127307,-18.99,227307,,
2024,Nov-Dec,6.12,-3.81,141207.45,-18.99,241207.45,,
2013,,,,,,,12.39,-3.87
2014,,,,,,,8.32,-4.35
2015,,,,,,,-5.76,-14.12
2016,,,,,,,9.42,-5.75
2017,,,,,,,28.95,-4.74
2018,,,,,,,-10.32,-23.06
2019,,,,,,,24.19,-8.15
2020,,,,,,,-4.82,-10.23
2021,,,,,,,-0.61,-2.21
2022,,,,,,,-1.49,-3.34
2023,,,,,,,21.35,-8.63
2024,,,,,,,18.33,-4.95
Cumulative CAGR,7.61%,,,,,,,
Final Portfolio Value,"$241,207.45 ",,,,,,,
Symbol,XLK,,,,,,,
