Year,Period,Profit %,Drawdown %,Cum Profit $,Max. Cum Drawdown %,Portfolio $,CAGR %,Max DD %
2022,Jan-Feb,-2.56,-8.55,-2.56,-8.55,97444.98,,
2022,Mar-Apr,-10.41,-12.68,-12.7,-12.68,87296.14,,
2022,May-Jun,-8.91,-14.43,-20.48,-14.43,79515.36,,
2022,Jul-Aug,5.06,-7.72,-16.46,-14.43,83542.09,,
2022,Sep-Oct,2.49,-12.57,-14.38,-14.43,85620.24,,
2022,Nov-Dec,0.63,-8.03,-13.84,-14.43,86157.89,,
2023,Jan-Feb,4.05,-3.78,-10.35,-14.43,89651.01,,
2022,,,,,,,-11.58,-14.43
2023,,,,,,,-10.35,-3.78
Final Portfolio Value,"$89,651.01",,,,,,,
Cumulative Max Drawdown,-14.43%,,,,,,,
