Year,Period,Profit %,Drawdown %,Cum Profit $,Max. Cum Drawdown %,Portfolio $,CAGR %,Max DD %
2014,Jan-Feb,2.71,-5.2,2.71,-5.2,102707.57,,
2014,Mar-Apr,1.36,-4.35,4.1,-5.2,104101.95,,
2014,May-Jun,5.09,-1.12,9.4,-5.2,109402.9,,
2014,Jul-Aug,3.97,-3.47,13.75,-5.2,113746.24,,
2014,Sep-Oct,0.62,-8.35,14.45,-8.35,114452.04,,
2014,Nov-Dec,1.98,-6.27,16.72,-8.35,116721.89,,
2015,Jan-Feb,4.39,-3.76,21.84,-8.35,121844.54,,
2015,Mar-Apr,-1.18,-4.24,20.4,-8.35,120402.43,,
2015,May-Jun,-2.79,-5.55,17.04,-8.35,117042.71,,
2015,Jul-Aug,-2.84,-13.68,13.72,-13.68,113723.94,,
2015,Sep-Oct,8.49,-5.65,23.38,-13.68,123380.12,,
2015,Nov-Dec,-1.88,-5.38,21.06,-13.68,121056.22,,
2016,Jan-Feb,-3.09,-8.38,17.32,-13.68,117321.01,,
2016,Mar-Apr,-0.16,-5.75,17.14,-13.68,117136.72,,
2016,May-Jun,2.93,-6.48,20.57,-13.68,120572.61,,
2016,Jul-Aug,8.34,-0.87,30.63,-13.68,130630.45,,
2016,Sep-Oct,0.91,-3.25,31.81,-13.68,131812.81,,
2016,Nov-Dec,2.86,-3.23,35.58,-13.68,135578.21,,
2017,Jan-Feb,7.29,-1.3,45.46,-13.68,145463.75,,
2017,Mar-Apr,3.87,-1.99,51.09,-13.68,151089.78,,
2017,May-Jun,0.62,-4.74,52.03,-13.68,152027.14,,
2017,Jul-Aug,7.47,-2.16,63.38,-13.68,163383.17,,
2017,Sep-Oct,6.99,-2.07,74.8,-13.68,174799.08,,
2017,Nov-Dec,1.58,-3.44,77.56,-13.68,177558.27,,
2018,Jan-Feb,5.28,-10.38,86.94,-13.68,186937.74,,
2018,Mar-Apr,-2.37,-9.72,82.5,-13.68,182503.84,,
2018,May-Jun,6.11,-5.14,93.66,-13.68,193656.38,,
2018,Jul-Aug,8.79,-4.74,110.68,-13.68,210683.43,,
2018,Sep-Oct,-8.0,-11.84,93.82,-13.68,193819.4,,
2018,Nov-Dec,-11.61,-19.0,71.33,-19.0,171325.3,,
2019,Jan-Feb,14.24,-5.05,95.72,-19.0,195716.79,,
2019,Mar-Apr,10.31,-2.81,115.9,-19.0,215904.6,,
2019,May-Jun,-0.88,-10.44,114.0,-19.0,213998.81,,
2019,Jul-Aug,0.29,-8.47,114.62,-19.0,214619.41,,
2019,Sep-Oct,6.44,-4.29,128.45,-19.0,228446.32,,
2019,Nov-Dec,9.53,-2.59,150.22,-19.0,250218.18,,
2020,Jan-Feb,-5.38,-14.68,136.76,-19.0,236756.75,,
2020,Mar-Apr,-2.24,-24.94,131.46,-24.94,231458.74,,
2020,May-Jun,17.51,-5.74,172.0,-24.94,271997.25,,
2020,Jul-Aug,18.03,-3.98,221.03,-24.94,321029.0,,
2020,Sep-Oct,-11.97,-12.89,182.6,-24.94,282595.1,,
2020,Nov-Dec,17.26,-2.57,231.38,-24.94,331376.73,,
2021,Jan-Feb,2.16,-6.2,238.54,-24.94,338539.74,,
2021,Mar-Apr,3.55,-6.72,250.55,-24.94,350550.45,,
2021,May-Jun,5.66,-6.01,270.38,-24.94,370375.06,,
2021,Jul-Aug,7.39,-3.16,297.74,-24.94,397737.22,,
2021,Sep-Oct,1.66,-7.13,304.34,-24.94,404338.63,,
2021,Nov-Dec,7.77,-5.33,335.77,-24.94,435771.33,,
2022,Jan-Feb,-11.43,-15.34,285.98,-24.94,385976.22,,
2022,Mar-Apr,-6.37,-14.51,261.4,-24.94,361400.38,,
2022,May-Jun,-11.5,-17.08,219.85,-24.94,319852.32,,
2022,Jul-Aug,6.4,-10.75,240.32,-24.94,340318.7,,
2022,Sep-Oct,-5.05,-16.41,223.15,-24.94,323146.5,,
2022,Nov-Dec,-1.9,-10.82,217.01,-24.94,317007.38,,
2023,Jan-Feb,10.71,-5.56,250.96,-24.94,350963.87,,
2023,Mar-Apr,10.41,-4.69,287.5,-24.94,387497.7,,
2023,May-Jun,15.26,-4.12,346.62,-24.94,446624.46,,
2023,Jul-Aug,1.0,-8.64,351.09,-24.94,451091.89,,
2023,Sep-Oct,-6.93,-9.41,319.84,-24.94,419839.24,,
2023,Nov-Dec,15.13,-1.51,383.35,-24.94,483353.39,,
2024,Jan-Feb,10.38,-4.14,433.52,-24.94,533517.3,,
2024,Mar-Apr,-5.19,-8.77,405.83,-24.94,505831.75,,
2024,May-Jun,16.43,-3.88,488.94,-24.94,588941.44,,
2024,Jul-Aug,-2.61,-16.97,473.58,-24.94,573582.06,,
2024,Sep-Oct,5.72,-4.95,506.41,-24.94,606407.29,,
2014,,,,,,,13.64,-8.35
2015,,,,,,,-0.65,-13.68
2016,,,,,,,15.56,-8.38
2017,,,,,,,22.06,-4.74
2018,,,,,,,-8.35,-19.0
2019,,,,,,,27.85,-10.44
2020,,,,,,,39.97,-24.94
2021,,,,,,,28.72,-7.13
2022,,,,,,,-17.87,-17.08
2023,,,,,,,37.72,-9.41
2024,,,,,,,13.66,-16.97
Final Portfolio Value,"$606,407.29",,,,,,,
Cumulative Max Drawdown,-24.94%,,,,,,,
