Year,Period,Profit %,Drawdown %,Cum Profit $,Max. Cum Drawdown %,Portfolio $,CAGR %,Max DD %
2013,Jan-Feb,1961091.17,-2.08,19.61,-2.08,119608.41,,
2014,Jan-Feb,1980311.0,-0.65,39.41,-0.65,139409.02,,
2015,Jan-Feb,495901.09,-1.53,44.37,-1.53,144365.53,,
2016,Jan-Feb,2058369.26,-4.4,64.95,-4.4,164946.72,,
2017,Jan-Feb,5111492.73,-1.53,116.06,-1.53,216059.15,,
2018,Jan-Feb,-927234.45,-7.93,106.78,-7.93,206784.31,,
2019,Jan-Feb,9855764.62,-5.05,205.34,-5.05,305339.46,,
2020,Jan-Feb,11972766.93,-2.84,325.06,-2.84,425064.63,,
2021,Jan-Feb,15260822.26,-9.21,477.67,-9.21,577670.35,,
2022,Jan-Feb,-16856761.0,-1.06,309.1,-1.06,409100.24,,
2023,Jan-Feb,22934813.44,-1.94,538.45,-1.94,638445.87,,
2024,Jan-Feb,15354794.66,-16.97,691.99,-16.97,791991.32,,
2013,,,,,,,19.61,-2.08
2014,,,,,,,16.55,-0.65
2015,,,,,,,3.56,-1.53
2016,,,,,,,14.26,-4.4
2017,,,,,,,30.99,-1.53
2018,,,,,,,-4.29,-7.93
2019,,,,,,,47.66,-5.05
2020,,,,,,,39.21,-2.84
2021,,,,,,,35.9,-9.21
2022,,,,,,,-29.18,-1.06
2023,,,,,,,56.06,-1.94
2024,,,,,,,24.05,-16.97
Final Portfolio Value,"$791,991.32",,,,,,,
Cumulative Max Drawdown,-65.0%,,,,,,,
