Date,Value
Jan-93,68.228
Feb-93,69.067
Mar-93,69.788
Apr-93,70.367
May-93,69.020
Jun-93,71.253
Jul-93,72.763
Aug-93,74.059
Sep-93,74.210
Oct-93,75.492
Nov-93,75.632
Dec-93,77.686
Jan-94,79.695
Feb-94,82.065
Mar-94,80.147
Apr-94,80.142
May-94,80.700
Jun-94,79.903
Jul-94,79.660
Aug-94,79.844
Sep-94,80.425
Oct-94,79.373
Nov-94,78.508
Dec-94,78.173
Jan-95,76.583
Feb-95,74.540
Mar-95,74.697
Apr-95,73.528
May-95,73.701
Jun-95,74.186
Jul-95,75.972
Aug-95,74.420
Sep-95,74.540
Oct-95,73.583
Nov-95,75.336
Dec-95,75.904
Jan-96,77.124
Feb-96,78.104
Mar-96,79.207
Apr-96,80.097
May-96,80.674
Jun-96,81.473
Jul-96,81.073
Aug-96,81.345
Sep-96,81.774
Oct-96,82.794
Nov-96,85.094
Dec-96,85.362
Jan-97,85.963
Feb-97,88.762
Mar-97,89.191
Apr-97,90.693
May-97,91.134
Jun-97,90.232
Jul-97,92.515
Aug-97,93.710
Sep-97,94.023
Oct-97,93.187
Nov-97,92.245
Dec-97,91.899
Jan-98,92.238
Feb-98,93.831
Mar-98,90.290
Apr-98,89.573
May-98,87.933
Jun-98,88.231
Jul-98,87.000
Aug-98,84.301
Sep-98,83.024
Oct-98,83.859
Nov-98,85.495
Dec-98,82.527
Jan-99,80.661
Feb-99,80.063
Mar-99,79.980
Apr-99,81.941
May-99,82.719
Jun-99,82.295
Jul-99,79.779
Aug-99,82.448
Sep-99,83.000
Oct-99,84.546
Nov-99,84.574
Dec-99,83.672
Jan-00,83.339
Feb-00,81.828
Mar-00,83.737
Apr-00,81.079
May-00,80.584
Jun-00,80.567
Jul-00,81.048
Aug-00,82.072
Sep-00,83.049
Oct-00,81.416
Nov-00,79.100
Dec-00,80.278
Jan-01,81.591
Feb-01,78.857
Mar-01,76.083
Apr-01,76.256
May-01,75.337
Jun-01,74.526
Jul-01,72.762
Aug-01,70.745
Sep-01,68.335
Oct-01,65.692
Nov-01,65.126
Dec-01,65.507
Jan-02,65.997
Feb-02,69.745
Mar-02,70.713
Apr-02,67.564
May-02,67.223
Jun-02,66.824
Jul-02,67.685
Aug-02,68.871
Sep-02,69.669
Oct-02,70.528
Nov-02,72.435
Dec-02,72.928
Jan-03,73.594
Feb-03,74.591
Mar-03,74.854
Apr-03,77.087
May-03,79.084
Jun-03,82.092
Jul-03,84.547
Aug-03,84.845
Sep-03,88.717
Oct-03,93.890
Nov-03,94.256
Dec-03,94.678
Jan-04,97.733
Feb-04,97.700
Mar-04,102.178
Apr-04,98.052
May-04,99.161
Jun-04,99.335
Jul-04,99.530
Aug-04,99.219
Sep-04,101.390
Oct-04,101.452
Nov-04,101.332
Dec-04,102.919
Jan-05,102.574
Feb-05,102.573
Mar-05,104.822
Apr-05,105.979
May-05,107.303
Jun-05,104.591
Jul-05,108.315
Aug-05,109.926
Sep-05,109.594
Oct-05,109.278
Nov-05,108.978
Dec-05,109.987
Jan-06,111.902
Feb-06,112.079
Mar-06,112.535
Apr-06,113.882
May-06,112.673
Jun-06,113.990
Jul-06,114.443
Aug-06,115.076
Sep-06,115.824
Oct-06,117.573
Nov-06,119.490
Dec-06,119.067
Jan-07,118.524
Feb-07,122.661
Mar-07,122.064
Apr-07,121.077
May-07,123.415
Jun-07,122.396
Jul-07,121.246
Aug-07,122.727
Sep-07,123.775
Oct-07,127.390
Nov-07,130.168
Dec-07,131.524
Jan-08,131.349
