Date;Value
Jan-00;108.1
Feb-00;108.5
Mar-00;108.9
Apr-00;109.1
May-00;109.2
Jun-00;109.2
Jul-00;109.3
Aug-00;109.3
Sep-00;109.4
Oct-00;109.4
Nov-00;109.4
Dec-00;109.2
Jan-01;109.1
Feb-01;109.0
Mar-01;108.9
Apr-01;108.8
May-01;108.6
Jun-01;108.5
Jul-01;108.4
Aug-01;108.4
Sep-01;108.2
Oct-01;108.0
Nov-01;107.9
Dec-01;107.8
Jan-02;108.0
Feb-02;108.3
Mar-02;108.7
Apr-02;108.8
May-02;108.9
Jun-02;109.0
Jul-02;108.9
Aug-02;109.0
Sep-02;109.2
Oct-02;109.2
Nov-02;109.2
Dec-02;109.3
Jan-03;109.3
Feb-03;109.2
Mar-03;109.2
Apr-03;109.2
May-03;109.4
Jun-03;109.6
Jul-03;109.8
Aug-03;110.1
Sep-03;110.3
Oct-03;110.7
Nov-03;111.1
Dec-03;111.6
Jan-04;112.0
Feb-04;112.4
Mar-04;112.9
Apr-04;113.3
May-04;113.6
Jun-04;113.8
Jul-04;114.0
Aug-04;114.2
Sep-04;114.4
Oct-04;114.7
Nov-04;115.1
Dec-04;115.3
Jan-05;115.5
Feb-05;115.7
Mar-05;115.9
Apr-05;116.0
May-05;116.1
Jun-05;116.3
Jul-05;116.5
Aug-05;116.6
Sep-05;116.6
Oct-05;116.7
Nov-05;116.8
Dec-05;116.9
Jan-06;117.0
Feb-06;117.2
Mar-06;117.4
Apr-06;117.6
May-06;117.7
Jun-06;117.8
Jul-06;117.9
Aug-06;118.0
Sep-06;118.0
Oct-06;118.0
Nov-06;118.0
Dec-06;118.1
Jan-07;118.1
Feb-07;118.0
Mar-07;117.9
Apr-07;117.8
May-07;117.8
Jun-07;117.8
Jul-07;117.7
Aug-07;117.5
Sep-07;117.3
Oct-07;117.0
Nov-07;116.7
Dec-07;116.4
Jan-08;102.9
Feb-08;102.4
Mar-08;102.0
Apr-08;101.8
May-08;101.5
Jun-08;101.1
Jul-08;100.7
Aug-08;100.5
Sep-08;99.6
Oct-08;98.6
Nov-08;97.6
Dec-08;96.6
Jan-09;96.0
Feb-09;95.5
Mar-09;95.1
Apr-09;95.0
May-09;95.3
Jun-09;95.8
Jul-09;96.5
Aug-09;97.2
Sep-09;98.0
Oct-09;98.8
Nov-09;99.7
Dec-09;100.5
Jan-10;102.4
Feb-10;102.8
Mar-10;103.8
Apr-10;104.5
May-10;104.8
Jun-10;104.9
Jul-10;105.0
Aug-10;105.2
Sep-10;105.3
Oct-10;105.6
Nov-10;105.9
Dec-10;106.3
Jan-11;106.6
Feb-11;106.9
Mar-11;107.1
Apr-11;107.2
May-11;107.3
Jun-11;107.5
Jul-11;107.7
Aug-11;107.8
Sep-11;107.9
Oct-11;108.0
Nov-11;108.2
Dec-11;108.4
Jan-12;108.6
Feb-12;108.8
Mar-12;108.9
Apr-12;108.9
May-12;108.9
Jun-12;108.8
Jul-12;108.8
Aug-12;108.9
Sep-12;109.0
Oct-12;109.1
Nov-12;109.2
Dec-12;109.2
Jan-13;109.4
Feb-13;109.6
Mar-13;109.7
Apr-13;109.8
May-13;109.9
Jun-13;110.1
Jul-13;110.3
Aug-13;110.6
Sep-13;110.8
Oct-13;111.0
Nov-13;111.3
Dec-13;111.5
Jan-14;111.7
Feb-14;112.0
Mar-14;112.3
Apr-14;112.6
May-14;112.9
Jun-14;113.1
Jul-14;113.4
Aug-14;113.7
Sep-14;113.9
Oct-14;114.1
Nov-14;114.3
Dec-14;114.5
Jan-15;114.6
Feb-15;114.7
Mar-15;114.8
Apr-15;114.9
May-15;115.0
Jun-15;115.1
Jul-15;115.2
Aug-15;115.3
Sep-15;115.3
Oct-15;115.4
Nov-15;115.5
Dec-15;115.5
Jan-16;115.5
Feb-16;115.5
Mar-16;115.6
Apr-16;115.7
May-16;115.7
Jun-16;115.8
Jul-16;115.9
Aug-16;116.0
Sep-16;116.0
Oct-16;116.1
Nov-16;116.2
Dec-16;116.3
Jan-17;116.4
Feb-17;116.6
Mar-17;116.8
Apr-17;117.0
May-17;117.1
Jun-17;117.3
Jul-17;117.5
Aug-17;117.7
Sep-17;117.8
Oct-17;118.0
Nov-17;118.2
Dec-17;118.4
Jan-18;118.6
Feb-18;118.8
Mar-18;119.0
Apr-18;119.2
May-18;119.3
Jun-18;119.4
Jul-18;119.5
Aug-18;119.7
Sep-18;119.8
Oct-18;119.9
Nov-18;120.0
Dec-18;120.0
Jan-19;119.9
Feb-19;119.9
Mar-19;120.0
Apr-19;120.0
May-19;120.0
Jun-19;120.0
Jul-19;120.0
Aug-19;120.0
Sep-19;119.9
Oct-19;119.8
Nov-19;119.7
Dec-19;119.7
Jan-20;111.6
Feb-20;111.4
Mar-20;104.2
Apr-20;97.5
May-20;99.2
Jun-20;102.0
Jul-20;103.8
Aug-20;105.2
Sep-20;106.0
Oct-20;106.8
Nov-20;107.5
Dec-20;108.1
Jan-21;108.7
Feb-21;109.2
Mar-21;110.0
Apr-21;110.8
May-21;111.5
Jun-21;112.0
Jul-21;112.4
Aug-21;112.7
Sep-21;112.9
Oct-21;113.1
Nov-21;113.3
Dec-21;113.5
Jan-22;113.6
Feb-22;113.7
Mar-22;113.8
Apr-22;113.8
May-22;113.8
Jun-22;113.7
Jul-22;113.6
Aug-22;113.5
Sep-22;113.3
Oct-22;113.1
Nov-22;112.9
Dec-22;112.7
Jan-23;112.5
Feb-23;112.3
Mar-23;112.1
Apr-23;111.8
May-23;111.5
Jun-23;111.2
Jul-23;110.9
Aug-23;110.6
Sep-23;110.3
Oct-23;110.0
Nov-23;109.7
Dec-23;109.4
Jan-24;102.7
Feb-24;102.8
Mar-24;104.1
Apr-24;103.1
May-24;101.8
Jun-24;101.2
Jul-24;100.6
Aug-24;100.9
Sep-24;101.0
Oct-24;101.4
Nov-24;101.8
Dec-24;101.8
Jan-25;101.5
