Category,Data
08-Jan,103.1621
08-Feb,103.1115
08-Mar,103.0312
08-Apr,102.8838
08-May,102.6011
08-Jun,102.0994
08-Jul,101.1949
08-Aug,100.0787
08-Sep,98.79052
08-Oct,97.46188
08-Nov,96.32038
08-Dec,95.55438
09-Jan,95.23907
09-Feb,95.34758
09-Mar,95.79531
09-Apr,96.47932
09-May,97.27007
09-Jun,98.06841
09-Jul,98.82235
09-Aug,99.5069
09-Sep,100.1013
09-Oct,100.5884
09-Nov,100.957
09-Dec,101.2129
10-Jan,101.3656
10-Feb,101.4282
10-Mar,101.4142
10-Apr,101.3405
10-May,101.2551
10-Jun,101.2095
10-Jul,101.2337
10-Aug,101.3379
10-Sep,101.5044
10-Oct,101.6899
10-Nov,101.8425
10-Dec,101.9368
11-Jan,101.966
11-Feb,101.9314
11-Mar,101.8381
11-Apr,101.6722
11-May,101.4311
11-Jun,101.1335
11-Jul,100.8177
11-Aug,100.5424
11-Sep,100.3624
11-Oct,100.3
11-Nov,100.3335
11-Dec,100.4266
12-Jan,100.5303
12-Feb,100.6021
12-Mar,100.613
12-Apr,100.5577
12-May,100.4635
12-Jun,100.3794
12-Jul,100.3399
12-Aug,100.3496
12-Sep,100.3865
12-Oct,100.4125
12-Nov,100.4034
12-Dec,100.3459
13-Jan,100.2351
13-Feb,100.0818
13-Mar,99.90051
13-Apr,99.70203
13-May,99.49869
13-Jun,99.29925
13-Jul,99.13865
13-Aug,99.04404
13-Sep,98.99425
13-Oct,98.94641
13-Nov,98.88335
13-Dec,98.79314
14-Jan,98.67501
14-Feb,98.54507
14-Mar,98.41717
14-Apr,98.29945
14-May,98.2022
14-Jun,98.14598
14-Jul,98.12513
14-Aug,98.10312
14-Sep,98.0545
14-Oct,97.94788
14-Nov,97.76506
14-Dec,97.50547
15-Jan,97.19685
15-Feb,96.86729
15-Mar,96.54202
15-Apr,96.25907
15-May,96.02772
15-Jun,95.85263
15-Jul,95.7464
15-Aug,95.70765
15-Sep,95.74081
15-Oct,95.82284
15-Nov,95.90217
15-Dec,95.97202
16-Jan,96.05711
16-Feb,96.20868
16-Mar,96.45392
16-Apr,96.79221
16-May,97.21622
16-Jun,97.66103
16-Jul,98.13551
16-Aug,98.56953
16-Sep,98.92046
16-Oct,99.16914
16-Nov,99.32031
16-Dec,99.41016
17-Jan,99.48675
17-Feb,99.563
17-Mar,99.64553
17-Apr,99.73919
17-May,99.86978
17-Jun,100.0616
17-Jul,100.3563
17-Aug,100.7509
17-Sep,101.2037
17-Oct,101.6541
17-Nov,102.0438
17-Dec,102.349
18-Jan,102.5631
18-Feb,102.6621
18-Mar,102.6302
18-Apr,102.4738
18-May,102.2326
18-Jun,101.9711
18-Jul,101.7604
18-Aug,101.6326
18-Sep,101.6045
18-Oct,101.6986
18-Nov,101.8818
18-Dec,102.0926
19-Jan,102.279
19-Feb,102.3868
19-Mar,102.4162
19-Apr,102.4208
19-May,102.447
19-Jun,102.5289
19-Jul,102.6629
19-Aug,102.8371
19-Sep,103.0352
19-Oct,103.2115
19-Nov,103.3036
19-Dec,103.2167
20-Jan,102.8783
20-Feb,102.2964
20-Mar,100.6547
20-Apr,93.22632
20-May,95.66504
20-Jun,100.1152
20-Jul,101.6134
20-Aug,102.2705
20-Sep,102.9417
20-Oct,103.5296
20-Nov,103.9788
20-Dec,104.2556
21-Jan,104.3334
21-Feb,104.2719
21-Mar,104.1821
21-Apr,104.1469
21-May,104.1643
21-Jun,104.1621
21-Jul,104.0235
21-Aug,103.6997
21-Sep,103.2165
21-Oct,102.6487
21-Nov,102.0622
21-Dec,101.523
22-Jan,101.075
22-Feb,100.7482
22-Mar,100.5203
22-Apr,100.3506
22-May,100.1951
22-Jun,100.0498
22-Jul,99.92721
22-Aug,99.84078
22-Sep,99.74896
22-Oct,99.62484
22-Nov,99.46349
22-Dec,99.30342
23-Jan,99.17961
23-Feb,99.12246
23-Mar,99.15256
23-Apr,99.27165
23-May,99.45822
23-Jun,99.6778
23-Jul,99.88341
23-Aug,100.0752
23-Sep,100.282
23-Oct,100.5419
23-Nov,100.8668
23-Dec,101.2009
24-Jan,101.4869
24-Feb,101.6913
24-Mar,101.8331
24-Apr,101.943
24-May,102.0463
24-Jun,102.1481
24-Jul,102.2446
24-Aug,102.2944
24-Sep,102.2587
24-Oct,102.1314
24-Nov,101.9379
24-Dec,101.7185
