Category,Data
08-Jan,101.5031
08-Feb,101.3482
08-Mar,101.123
08-Apr,100.8052
08-May,100.3769
08-Jun,99.80863
08-Jul,99.0979
08-Aug,98.2607
08-Sep,97.3231
08-Oct,96.35422
08-Nov,95.46791
08-Dec,94.78054
09-Jan,94.37585
09-Feb,94.26557
09-Mar,94.44971
09-Apr,94.90629
09-May,95.57945
09-Jun,96.38663
09-Jul,97.23718
09-Aug,98.04597
09-Sep,98.74712
09-Oct,99.31577
09-Nov,99.76342
09-Dec,100.1203
10-Jan,100.4312
10-Feb,100.7269
10-Mar,101.0232
10-Apr,101.3083
10-May,101.5629
10-Jun,101.8029
10-Jul,102.0432
10-Aug,102.271
10-Sep,102.4727
10-Oct,102.6408
10-Nov,102.7641
10-Dec,102.8302
11-Jan,102.8294
11-Feb,102.7495
11-Mar,102.5861
11-Apr,102.3421
11-May,102.0267
11-Jun,101.6468
11-Jul,101.2194
11-Aug,100.7869
11-Sep,100.4108
11-Oct,100.1332
11-Nov,99.96303
11-Dec,99.89378
12-Jan,99.8754
12-Feb,99.86298
12-Mar,99.81545
12-Apr,99.70743
12-May,99.53791
12-Jun,99.32417
12-Jul,99.10667
12-Aug,98.92689
12-Sep,98.81738
12-Oct,98.79729
12-Nov,98.87114
12-Dec,99.01284
13-Jan,99.18918
13-Feb,99.36531
13-Mar,99.5107
13-Apr,99.64083
13-May,99.78608
13-Jun,99.95457
13-Jul,100.1411
13-Aug,100.3413
13-Sep,100.5277
13-Oct,100.6767
13-Nov,100.7866
13-Dec,100.8496
14-Jan,100.8675
14-Feb,100.8297
14-Mar,100.7358
14-Apr,100.5954
14-May,100.4151
14-Jun,100.2122
14-Jul,100.0057
14-Aug,99.81234
14-Sep,99.66101
14-Oct,99.57468
14-Nov,99.55866
14-Dec,99.6021
15-Jan,99.68665
15-Feb,99.79047
15-Mar,99.89606
15-Apr,99.98206
15-May,100.0309
15-Jun,100.0389
15-Jul,100.0096
15-Aug,99.94915
15-Sep,99.86808
15-Oct,99.78273
15-Nov,99.69865
15-Dec,99.61594
16-Jan,99.53916
16-Feb,99.4775
16-Mar,99.44735
16-Apr,99.44194
16-May,99.45567
16-Jun,99.48249
16-Jul,99.5267
16-Aug,99.59365
16-Sep,99.69537
16-Oct,99.81799
16-Nov,99.9465
16-Dec,100.0943
17-Jan,100.2523
17-Feb,100.4181
17-Mar,100.5873
17-Apr,100.7516
17-May,100.8988
17-Jun,101.0388
17-Jul,101.1694
17-Aug,101.2863
17-Sep,101.388
17-Oct,101.4671
17-Nov,101.5119
17-Dec,101.5157
18-Jan,101.4705
18-Feb,101.387
18-Mar,101.2737
18-Apr,101.1505
18-May,101.0364
18-Jun,100.9386
18-Jul,100.8633
18-Aug,100.7889
18-Sep,100.6927
18-Oct,100.5562
18-Nov,100.388
18-Dec,100.1838
19-Jan,99.95753
19-Feb,99.72852
19-Mar,99.49905
19-Apr,99.27103
19-May,99.04327
19-Jun,98.8258
19-Jul,98.65913
19-Aug,98.58675
19-Sep,98.60427
19-Oct,98.687
19-Nov,98.79275
19-Dec,98.87156
20-Jan,98.89632
20-Feb,98.84618
20-Mar,95.97092
20-Apr,90.67519
20-May,93.06404
20-Jun,97.23603
20-Jul,98.61396
20-Aug,99.07504
20-Sep,99.31635
20-Oct,99.54631
20-Nov,99.76604
20-Dec,100.0215
21-Jan,100.3485
21-Feb,100.7797
21-Mar,101.2879
21-Apr,101.7891
21-May,102.234
21-Jun,102.5812
21-Jul,102.7829
21-Aug,102.8349
21-Sep,102.7823
21-Oct,102.6493
21-Nov,102.4679
21-Dec,102.2578
22-Jan,102.014
22-Feb,101.7077
22-Mar,101.3354
22-Apr,100.9504
22-May,100.576
22-Jun,100.2041
22-Jul,99.84681
22-Aug,99.54765
22-Sep,99.33833
22-Oct,99.24625
22-Nov,99.27787
22-Dec,99.39782
23-Jan,99.53423
23-Feb,99.6268
23-Mar,99.6394
23-Apr,99.56157
23-May,99.40224
23-Jun,99.21839
23-Jul,99.06667
23-Aug,98.97891
23-Sep,98.96849
23-Oct,99.02096
23-Nov,99.1158
23-Dec,99.23354
24-Jan,99.36878
24-Feb,99.52641
24-Mar,99.70283
24-Apr,99.87608
24-May,100.0205
24-Jun,100.1158
24-Jul,100.1683
24-Aug,100.186
24-Sep,100.1908
24-Oct,100.1929
24-Nov,100.1933
24-Dec,100.2083
