Category,Data
08-Jan,102.0744
08-Feb,102.0039
08-Mar,101.9015
08-Apr,101.7347
08-May,101.4491
08-Jun,101.0337
08-Jul,100.4967
08-Aug,99.84308
08-Sep,99.08293
08-Oct,98.2352
08-Nov,97.3948
08-Dec,96.70152
09-Jan,96.2313
09-Feb,95.9929
09-Mar,95.99648
09-Apr,96.23559
09-May,96.66677
09-Jun,97.22456
09-Jul,97.82404
09-Aug,98.41298
09-Sep,98.98228
09-Oct,99.48329
09-Nov,99.88512
09-Dec,100.1753
10-Jan,100.3652
10-Feb,100.4826
10-Mar,100.5603
10-Apr,100.6367
10-May,100.7262
10-Jun,100.857
10-Jul,101.0506
10-Aug,101.3162
10-Sep,101.6212
10-Oct,101.9171
10-Nov,102.1714
10-Dec,102.3718
11-Jan,102.4882
11-Feb,102.5255
11-Mar,102.4891
11-Apr,102.3781
11-May,102.2015
11-Jun,101.9551
11-Jul,101.6376
11-Aug,101.2561
11-Sep,100.8282
11-Oct,100.4044
11-Nov,100.0086
11-Dec,99.61778
12-Jan,99.23
12-Feb,98.87247
12-Mar,98.53151
12-Apr,98.19852
12-May,97.91727
12-Jun,97.7099
12-Jul,97.57709
12-Aug,97.49849
12-Sep,97.45036
12-Oct,97.44106
12-Nov,97.46619
12-Dec,97.52493
13-Jan,97.61089
13-Feb,97.71696
13-Mar,97.84557
13-Apr,98.01073
13-May,98.22591
13-Jun,98.48109
13-Jul,98.74896
13-Aug,99.0153
13-Sep,99.26438
13-Oct,99.46879
13-Nov,99.64534
13-Dec,99.79021
14-Jan,99.9249
14-Feb,100.0515
14-Mar,100.1629
14-Apr,100.2242
14-May,100.2004
14-Jun,100.0875
14-Jul,99.91521
14-Aug,99.72803
14-Sep,99.58349
14-Oct,99.49974
14-Nov,99.5005
14-Dec,99.59229
15-Jan,99.76292
15-Feb,99.97661
15-Mar,100.1753
15-Apr,100.3259
15-May,100.4167
15-Jun,100.4743
15-Jul,100.5228
15-Aug,100.5947
15-Sep,100.7114
15-Oct,100.8223
15-Nov,100.8797
15-Dec,100.8738
16-Jan,100.8404
16-Feb,100.7904
16-Mar,100.7271
16-Apr,100.6489
16-May,100.5395
16-Jun,100.4222
16-Jul,100.2838
16-Aug,100.159
16-Sep,100.0735
16-Oct,100.0546
16-Nov,100.0958
16-Dec,100.1734
17-Jan,100.2671
17-Feb,100.3621
17-Mar,100.4501
17-Apr,100.5383
17-May,100.6486
17-Jun,100.794
17-Jul,100.9908
17-Aug,101.228
17-Sep,101.4581
17-Oct,101.6537
17-Nov,101.7905
17-Dec,101.8444
18-Jan,101.801
18-Feb,101.6925
18-Mar,101.5424
18-Apr,101.3627
18-May,101.1651
18-Jun,100.9696
18-Jul,100.7739
18-Aug,100.5884
18-Sep,100.4167
18-Oct,100.2534
18-Nov,100.0934
18-Dec,99.92991
19-Jan,99.75468
19-Feb,99.59641
19-Mar,99.47819
19-Apr,99.40083
19-May,99.34405
19-Jun,99.28691
19-Jul,99.23615
19-Aug,99.19669
19-Sep,99.18681
19-Oct,99.19701
19-Nov,99.21764
19-Dec,99.24129
20-Jan,99.24788
20-Feb,99.21925
20-Mar,93.733
20-Apr,89.87271
20-May,92.73254
20-Jun,96.33213
20-Jul,97.77041
20-Aug,98.73495
20-Sep,99.31195
20-Oct,99.68814
20-Nov,99.88406
20-Dec,100.1441
21-Jan,100.4777
21-Feb,100.8951
21-Mar,101.5036
21-Apr,102.1572
21-May,102.8032
21-Jun,103.3594
21-Jul,103.7597
21-Aug,103.989
21-Sep,104.0613
21-Oct,103.9686
21-Nov,103.6995
21-Dec,103.2581
22-Jan,102.6412
22-Feb,101.918
22-Mar,101.1392
22-Apr,100.3719
22-May,99.63743
22-Jun,98.95232
22-Jul,98.38174
22-Aug,97.9907
22-Sep,97.78926
22-Oct,97.79934
22-Nov,98.00246
22-Dec,98.29968
23-Jan,98.59358
23-Feb,98.82455
23-Mar,98.96877
23-Apr,99.02431
23-May,99.02875
23-Jun,99.01039
23-Jul,98.97803
23-Aug,98.94689
23-Sep,98.93034
23-Oct,98.94489
23-Nov,98.989
23-Dec,99.03194
24-Jan,99.0677
24-Feb,99.09269
24-Mar,99.12149
24-Apr,99.16429
24-May,99.25362
24-Jun,99.39362
24-Jul,99.56269
24-Aug,99.73243
24-Sep,99.89427
24-Oct,100.0337
24-Nov,100.1477
24-Dec,100.2472
