Category,Data
08-Jan,104.3083
08-Feb,104.0871
08-Mar,103.7176
08-Apr,103.2167
08-May,102.5452
08-Jun,101.7304
08-Jul,100.7241
08-Aug,99.44462
08-Sep,97.97856
08-Oct,96.43872
08-Nov,95.01063
08-Dec,93.83855
09-Jan,93.01785
09-Feb,92.64037
09-Mar,92.76908
09-Apr,93.34923
09-May,94.21919
09-Jun,95.29041
09-Jul,96.42661
09-Aug,97.54778
09-Sep,98.50533
09-Oct,99.24448
09-Nov,99.79897
09-Dec,100.2098
10-Jan,100.517
10-Feb,100.8047
10-Mar,101.0242
10-Apr,101.1026
10-May,101.1042
10-Jun,101.0199
10-Jul,100.9279
10-Aug,100.9023
10-Sep,100.9964
10-Oct,101.1792
10-Nov,101.3979
10-Dec,101.5655
11-Jan,101.7108
11-Feb,101.7991
11-Mar,101.7855
11-Apr,101.6975
11-May,101.5654
11-Jun,101.4409
11-Jul,101.337
11-Aug,101.2679
11-Sep,101.246
11-Oct,101.334
11-Nov,101.511
11-Dec,101.7088
12-Jan,101.8652
12-Feb,101.9217
12-Mar,101.9041
12-Apr,101.8288
12-May,101.7048
12-Jun,101.5524
12-Jul,101.417
12-Aug,101.3539
12-Sep,101.408
12-Oct,101.6031
12-Nov,101.8933
12-Dec,102.1858
13-Jan,102.3208
13-Feb,102.2964
13-Mar,102.1087
13-Apr,101.7662
13-May,101.3484
13-Jun,100.995
13-Jul,100.7565
13-Aug,100.5871
13-Sep,100.4475
13-Oct,100.3386
13-Nov,100.2107
13-Dec,100.0537
14-Jan,99.90173
14-Feb,99.83411
14-Mar,99.88434
14-Apr,99.98294
14-May,100.0867
14-Jun,100.1837
14-Jul,100.3098
14-Aug,100.4395
14-Sep,100.5775
14-Oct,100.6113
14-Nov,100.4935
14-Dec,100.3402
15-Jan,100.2792
15-Feb,100.3186
15-Mar,100.3706
15-Apr,100.343
15-May,100.2886
15-Jun,100.1378
15-Jul,99.92698
15-Aug,99.74938
15-Sep,99.60892
15-Oct,99.45511
15-Nov,99.29919
15-Dec,99.20995
16-Jan,99.22653
16-Feb,99.27824
16-Mar,99.3699
16-Apr,99.53403
16-May,99.71665
16-Jun,99.91994
16-Jul,100.0983
16-Aug,100.2626
16-Sep,100.4046
16-Oct,100.556
16-Nov,100.6542
16-Dec,100.7209
17-Jan,100.7974
17-Feb,100.9335
17-Mar,101.1551
17-Apr,101.4456
17-May,101.6589
17-Jun,101.8238
17-Jul,101.9435
17-Aug,101.9936
17-Sep,101.9933
17-Oct,101.9814
17-Nov,101.9844
17-Dec,101.972
18-Jan,101.8999
18-Feb,101.7927
18-Mar,101.6837
18-Apr,101.5996
18-May,101.6188
18-Jun,101.7555
18-Jul,101.929
18-Aug,102.0443
18-Sep,102.0364
18-Oct,101.8629
18-Nov,101.623
18-Dec,101.4128
19-Jan,101.2597
19-Feb,101.0935
19-Mar,100.8963
19-Apr,100.685
19-May,100.3441
19-Jun,99.94276
19-Jul,99.53876
19-Aug,99.19987
19-Sep,98.97546
19-Oct,98.86912
19-Nov,98.88148
19-Dec,98.95592
20-Jan,99.05306
20-Feb,99.13585
20-Mar,95.73454
20-Apr,86.36128
20-May,85.70641
20-Jun,93.41425
20-Jul,94.6945
20-Aug,95.58663
20-Sep,95.48848
20-Oct,96.22144
20-Nov,97.35651
20-Dec,98.50067
21-Jan,99.40041
21-Feb,99.67546
21-Mar,100.1545
21-Apr,100.8397
21-May,101.1681
21-Jun,101.4368
21-Jul,101.6227
21-Aug,101.7264
21-Sep,101.8147
21-Oct,101.8988
21-Nov,101.9671
21-Dec,102.002
22-Jan,102.0259
22-Feb,102.0115
22-Mar,101.9082
22-Apr,101.7074
22-May,101.3269
22-Jun,100.8566
22-Jul,100.3999
22-Aug,100.0433
22-Sep,99.85459
22-Oct,99.82027
22-Nov,99.90714
22-Dec,100.0472
23-Jan,100.2038
23-Feb,100.3531
23-Mar,100.5035
23-Apr,100.7213
23-May,100.8456
23-Jun,100.8773
23-Jul,100.842
23-Aug,100.7583
23-Sep,100.6686
23-Oct,100.6613
23-Nov,100.7838
23-Dec,101.0106
24-Jan,101.2509
24-Feb,101.4727
24-Mar,101.6302
24-Apr,101.6614
24-May,101.5737
24-Jun,101.3742
24-Jul,101.0919
24-Aug,100.7791
24-Sep,100.475
24-Oct,100.2227
24-Nov,100.0588
24-Dec,99.9562
