TIME_PERIOD,OBS_VALUE
90-Jan,99.80532
90-Feb,99.83637
90-Mar,99.83672
90-Apr,99.76309
90-May,99.59339
90-Jun,99.30772
90-Jul,98.91141
90-Aug,98.43497
90-Sep,97.95008
90-Oct,97.52469
90-Nov,97.22318
90-Dec,97.09063
91-Jan,97.1282
91-Feb,97.32331
91-Mar,97.63279
91-Apr,98.01102
91-May,98.40076
91-Jun,98.7599
91-Jul,99.03677
91-Aug,99.19099
91-Sep,99.22933
91-Oct,99.18542
91-Nov,99.11469
91-Dec,99.08175
92-Jan,99.13196
92-Feb,99.25729
92-Mar,99.42625
92-Apr,99.57954
92-May,99.67626
92-Jun,99.70467
92-Jul,99.69295
92-Aug,99.68188
92-Sep,99.71444
92-Oct,99.81463
92-Nov,99.96004
92-Dec,100.0905
93-Jan,100.1539
93-Feb,100.1368
93-Mar,100.0457
93-Apr,99.91199
93-May,99.75625
93-Jun,99.62531
93-Jul,99.55405
93-Aug,99.56808
93-Sep,99.67333
93-Oct,99.85989
93-Nov,100.0968
93-Dec,100.3591
94-Jan,100.6047
94-Feb,100.8052
94-Mar,100.9545
94-Apr,101.0489
94-May,101.0911
94-Jun,101.0869
94-Jul,101.0509
94-Aug,100.998
94-Sep,100.9294
94-Oct,100.8374
94-Nov,100.6991
94-Dec,100.5033
95-Jan,100.2452
95-Feb,99.92706
95-Mar,99.58015
95-Apr,99.2576
95-May,99.00262
95-Jun,98.83256
95-Jul,98.73431
95-Aug,98.67326
95-Sep,98.62069
95-Oct,98.57647
95-Nov,98.55536
95-Dec,98.57224
96-Jan,98.63918
96-Feb,98.76401
96-Mar,98.934
96-Apr,99.11367
96-May,99.28129
96-Jun,99.41689
96-Jul,99.51134
96-Aug,99.58594
96-Sep,99.65686
96-Oct,99.72924
96-Nov,99.81154
96-Dec,99.90002
97-Jan,100.0037
97-Feb,100.1307
97-Mar,100.2674
97-Apr,100.4092
97-May,100.5512
97-Jun,100.6877
97-Jul,100.8073
97-Aug,100.8935
97-Sep,100.951
97-Oct,100.9813
97-Nov,100.9787
97-Dec,100.9423
98-Jan,100.8898
98-Feb,100.8218
98-Mar,100.7201
98-Apr,100.5818
98-May,100.4079
98-Jun,100.21
98-Jul,100.0192
98-Aug,99.85965
98-Sep,99.76373
98-Oct,99.76589
98-Nov,99.86922
98-Dec,100.037
99-Jan,100.244
99-Feb,100.4547
99-Mar,100.6445
99-Apr,100.8108
99-May,100.9534
99-Jun,101.0618
99-Jul,101.1395
99-Aug,101.1958
99-Sep,101.2451
99-Oct,101.2955
99-Nov,101.3476
99-Dec,101.3833
00-Jan,101.3763
00-Feb,101.3106
00-Mar,101.2142
00-Apr,101.096
00-May,100.9499
00-Jun,100.785
00-Jul,100.602
00-Aug,100.3867
00-Sep,100.136
00-Oct,99.83363
00-Nov,99.48968
00-Dec,99.11949
01-Jan,98.78193
01-Feb,98.52332
01-Mar,98.35642
01-Apr,98.27303
01-May,98.24731
01-Jun,98.22467
01-Jul,98.18067
01-Aug,98.11834
01-Sep,98.07811
01-Oct,98.12962
01-Nov,98.29877
01-Dec,98.56445
02-Jan,98.87215
02-Feb,99.16387
02-Mar,99.38311
02-Apr,99.47401
02-May,99.41731
02-Jun,99.22167
02-Jul,98.93973
02-Aug,98.6386
02-Sep,98.35912
02-Oct,98.13915
02-Nov,97.99378
02-Dec,97.89628
03-Jan,97.82527
03-Feb,97.79142
03-Mar,97.82704
03-Apr,97.95953
03-May,98.18253
03-Jun,98.46877
03-Jul,98.80258
03-Aug,99.17141
03-Sep,99.56186
03-Oct,99.95168
03-Nov,100.3089
03-Dec,100.6047
04-Jan,100.8317
04-Feb,100.9888
04-Mar,101.079
04-Apr,101.1051
04-May,101.0817
04-Jun,101.017
04-Jul,100.9178
04-Aug,100.8024
04-Sep,100.6992
04-Oct,100.6281
04-Nov,100.5987
04-Dec,100.5848
05-Jan,100.5508
05-Feb,100.4904
05-Mar,100.4147
05-Apr,100.3601
05-May,100.3524
05-Jun,100.3887
05-Jul,100.4427
05-Aug,100.5151
05-Sep,100.6211
05-Oct,100.7724
05-Nov,100.9546
05-Dec,101.1284
06-Jan,101.2638
06-Feb,101.3511
06-Mar,101.3842
06-Apr,101.3591
06-May,101.2977
06-Jun,101.2361
06-Jul,101.1959
06-Aug,101.199
06-Sep,101.2578
06-Oct,101.351
06-Nov,101.4645
06-Dec,101.5878
07-Jan,101.7084
07-Feb,101.827
07-Mar,101.9499
07-Apr,102.0669
07-May,102.1557
07-Jun,102.2021
07-Jul,102.19
07-Aug,102.1165
07-Sep,102.0095
07-Oct,101.8896
07-Nov,101.7619
07-Dec,101.6379
08-Jan,101.5072
08-Feb,101.3568
08-Mar,101.1874
08-Apr,100.9731
08-May,100.6802
08-Jun,100.2706
08-Jul,99.71332
08-Aug,98.9957
08-Sep,98.13949
08-Oct,97.2216
08-Nov,96.35143
08-Dec,95.62234
09-Jan,95.09499
09-Feb,94.80594
09-Mar,94.77328
09-Apr,94.98782
09-May,95.38136
09-Jun,95.88364
09-Jul,96.43252
09-Aug,96.98692
09-Sep,97.51583
09-Oct,98.00132
09-Nov,98.44556
09-Dec,98.85344
10-Jan,99.20547
10-Feb,99.46671
10-Mar,99.64102
10-Apr,99.71159
10-May,99.68888
10-Jun,99.6131
10-Jul,99.54937
10-Aug,99.54771
10-Sep,99.61949
10-Oct,99.75076
10-Nov,99.92953
10-Dec,100.1186
11-Jan,100.2783
11-Feb,100.3737
11-Mar,100.369
11-Apr,100.2613
11-May,100.0617
11-Jun,99.79315
11-Jul,99.50668
11-Aug,99.26791
11-Sep,99.14356
11-Oct,99.16352
11-Nov,99.30795
11-Dec,99.52512
12-Jan,99.74196
12-Feb,99.8937
12-Mar,99.95335
12-Apr,99.92515
12-May,99.83228
12-Jun,99.71553
12-Jul,99.62536
12-Aug,99.58862
12-Sep,99.61989
12-Oct,99.69378
12-Nov,99.79247
12-Dec,99.9174
13-Jan,100.0619
13-Feb,100.2093
13-Mar,100.3333
13-Apr,100.4483
13-May,100.562
13-Jun,100.6516
13-Jul,100.7056
13-Aug,100.7363
13-Sep,100.7494
13-Oct,100.7546
13-Nov,100.7601
13-Dec,100.7536
14-Jan,100.7408
14-Feb,100.7569
14-Mar,100.8029
14-Apr,100.8602
14-May,100.9101
14-Jun,100.9454
14-Jul,100.9621
14-Aug,100.9627
14-Sep,100.9494
14-Oct,100.9178
14-Nov,100.8666
14-Dec,100.7905
15-Jan,100.6928
15-Feb,100.5831
15-Mar,100.4754
15-Apr,100.3705
15-May,100.2598
15-Jun,100.1372
15-Jul,99.9809
15-Aug,99.8011
15-Sep,99.62675
15-Oct,99.48232
15-Nov,99.35996
15-Dec,99.25332
16-Jan,99.1673
16-Feb,99.10925
16-Mar,99.09004
16-Apr,99.09058
16-May,99.0953
16-Jun,99.09748
16-Jul,99.11556
16-Aug,99.16167
16-Sep,99.25035
16-Oct,99.3764
16-Nov,99.52381
16-Dec,99.67171
17-Jan,99.78988
17-Feb,99.86663
17-Mar,99.90295
17-Apr,99.91447
17-May,99.92132
17-Jun,99.93871
17-Jul,99.97269
17-Aug,100.0487
17-Sep,100.1589
17-Oct,100.2908
17-Nov,100.4265
17-Dec,100.5614
18-Jan,100.6952
18-Feb,100.8167
18-Mar,100.8934
18-Apr,100.9183
18-May,100.9008
18-Jun,100.8522
18-Jul,100.7755
18-Aug,100.6735
18-Sep,100.5315
18-Oct,100.345
18-Nov,100.1311
18-Dec,99.91245
19-Jan,99.71071
19-Feb,99.54327
19-Mar,99.40903
19-Apr,99.28586
19-May,99.17065
19-Jun,99.06644
19-Jul,98.98085
19-Aug,98.92529
19-Sep,98.92606
19-Oct,98.97797
19-Nov,99.05763
19-Dec,99.13183
20-Jan,99.16107
20-Feb,99.11575
20-Mar,97.69834
20-Apr,92.84312
20-May,94.39946
20-Jun,96.21853
20-Jul,97.81515
20-Aug,98.50859
20-Sep,98.81127
20-Oct,99.18324
20-Nov,99.58637
20-Dec,100.005
21-Jan,100.3727
21-Feb,100.7317
21-Mar,101.0359
21-Apr,101.2643
21-May,101.3318
21-Jun,101.3355
21-Jul,101.2924
21-Aug,101.2313
21-Sep,101.1844
21-Oct,101.1554
21-Nov,101.1312
21-Dec,101.084
22-Jan,100.99
22-Feb,100.8426
22-Mar,100.6326
22-Apr,100.363
22-May,100.0428
22-Jun,99.72101
22-Jul,99.44713
22-Aug,99.2356
22-Sep,99.0706
22-Oct,98.93892
22-Nov,98.83343
22-Dec,98.75857
23-Jan,98.70741
23-Feb,98.66174
23-Mar,98.6303
23-Apr,98.63556
23-May,98.68226
23-Jun,98.76792
23-Jul,98.86033
23-Aug,98.93542
23-Sep,98.9917
23-Oct,99.03984
23-Nov,99.10867
23-Dec,99.21207
24-Jan,99.34105
24-Feb,99.47501
24-Mar,99.58662
24-Apr,99.65101
24-May,99.67356
24-Jun,99.68119
24-Jul,99.71181
24-Aug,99.78668
24-Sep,99.90686
24-Oct,100.052
24-Nov,100.1978
24-Dec,100.3092
25-Jan,100.3594
25-Feb,100.3541
25-Mar,100.3188
25-Apr,100.2984
25-May,100.3402
25-Jun,100.4308
